"_date","open_price","high_price","low_price","close_price","volume"
"2023-01-03","1731.20","1738.43","1706.01","1730.01","2603380"
"2023-01-04","1730.00","1738.70","1716.00","1725.01","2041575"
"2023-01-05","1737.00","1801.00","1733.00","1801.00","4794285"
"2023-01-06","1806.12","1811.90","1787.00","1803.77","2490375"
"2023-01-09","1835.00","1849.98","1807.82","1841.20","3097723"
"2023-01-10","1839.06","1864.50","1830.50","1854.45","2273173"
"2023-01-11","1856.00","1860.00","1836.84","1844.95","2272031"
"2023-01-12","1848.00","1856.00","1833.00","1834.00","1719317"
"2023-01-13","1844.18","1888.00","1840.00","1887.00","3193965"
"2023-01-16","1886.00","1935.00","1881.00","1912.90","3684826"
"2023-01-17","1913.16","1923.00","1895.00","1908.00","2129923"
"2023-01-18","1914.00","1925.30","1890.00","1893.00","2106293"
"2023-01-19","1892.50","1892.52","1866.00","1880.21","2343889"
"2023-01-20","1889.19","1898.25","1858.00","1860.01","2560875"
"2023-01-30","1909.00","1909.00","1880.00","1888.00","3592255"
"2023-01-31","1896.50","1899.95","1833.07","1845.76","3299068"
"2023-02-01","1854.98","1859.00","1811.40","1844.97","3397389"
"2023-02-02","1848.38","1859.00","1826.00","1836.11","2975886"
"2023-02-03","1820.00","1826.00","1795.68","1818.00","3494490"
"2023-02-06","1780.00","1795.00","1760.00","1795.00","4266095"
